,Time,QDConc,Value,Conc,Anaerobic,Temperature
0,0.0,,0.012531307095596456,0.0,0,303.15
1,0.0,,0.018945732759588007,0.0,0,303.15
2,0.0,,0.014210965506220988,0.0,0,303.15
3,0.0,,0.020964613900996736,0.0,0,303.15
4,0.0,,0.017054187446506847,0.0,0,303.15
5,0.0,,0.023304994672990152,0.0,0,303.15
6,0.0,,0.01710143240601342,0.0,0,303.15
7,0.0,,0.013559681441084912,0.0,0,303.15
8,0.0,,0.02046132759420999,0.0,0,303.15
9,0.0,,0.014571388170723775,0.0,0,303.15
10,0.0,,0.008742009469113646,1.0,0,303.15
11,0.0,,0.012513525778217459,1.0,0,303.15
12,0.0,,0.007926246845170012,1.0,0,303.15
13,0.0,,0.015103879039534866,1.0,0,303.15
14,0.0,,0.012131079513530594,1.0,0,303.15
15,0.0,,0.015762381115452164,1.0,0,303.15
16,0.0,,0.006211003450119149,1.0,0,303.15
17,0.0,,0.01164152367916271,1.0,0,303.15
18,0.0,,0.011993918070759665,1.0,0,303.15
19,0.0,,0.011643148985054103,1.0,0,303.15
20,0.0,,0.015093172737092257,2.5,0,303.15
21,0.0,,0.01362033414895179,2.5,0,303.15
22,0.0,,0.012721600853431502,2.5,0,303.15
23,0.0,,0.013230065400344042,2.5,0,303.15
24,0.0,,0.015433415889711153,2.5,0,303.15
25,0.0,,0.014510503533897087,2.5,0,303.15
26,0.0,,0.012589889854278245,2.5,0,303.15
27,0.0,,0.007916792632778474,2.5,0,303.15
28,0.0,,0.011935914947278668,2.5,0,303.15
29,0.0,,0.011026119007715489,2.5,0,303.15
30,0.0,,0.00837845267575684,5.0,0,303.15
31,0.0,,0.010846511244073962,5.0,0,303.15
32,0.0,,0.009973105720959998,5.0,0,303.15
33,0.0,,0.010842739071443093,5.0,0,303.15
34,0.0,,0.00898924473974551,5.0,0,303.15
35,0.0,,0.011332715116350945,5.0,0,303.15
36,0.0,,0.013431610250075514,5.0,0,303.15
37,0.0,,0.010165454334338932,5.0,0,303.15
38,0.0,,0.015370605259567073,5.0,0,303.15
39,0.0,,0.006938669233345731,5.0,0,303.15
40,0.0,,0.014117375012872213,7.5,0,303.15
41,0.0,,0.013490188095322944,7.5,0,303.15
42,0.0,,0.013221056812597,7.5,0,303.15
43,0.0,,0.0094173732826484,7.5,0,303.15
44,0.0,,0.014737569663603517,7.5,0,303.15
45,0.0,,0.012334866079232917,7.5,0,303.15
46,0.0,,0.009949260221131058,7.5,0,303.15
47,0.0,,0.009284033523649649,7.5,0,303.15
48,0.0,,0.009390222200724697,7.5,0,303.15
49,0.0,,0.009488672421741683,7.5,0,303.15
50,0.0,,0.028416975760991454,10.0,0,303.15
51,0.0,,0.008878316543246726,10.0,0,303.15
52,0.0,,0.014984413535982368,10.0,0,303.15
53,0.0,,0.012522729175358032,10.0,0,303.15
54,0.0,,0.003708521865872465,10.0,0,303.15
55,0.0,,0.01944352535800504,10.0,0,303.15
56,0.0,,0.002649666470900567,10.0,0,303.15
57,0.0,,0.010980685749052314,10.0,0,303.15
58,0.0,,0.01540323380274793,10.0,0,303.15
59,0.0,,0.01649532656599026,10.0,0,303.15
60,0.0,,0.009854758544412789,12.5,0,303.15
61,0.0,,0.01051120255639297,12.5,0,303.15
62,0.0,,0.012604715933060385,12.5,0,303.15
63,0.0,,0.008260826737975463,12.5,0,303.15
64,0.0,,0.00944439725943502,12.5,0,303.15
65,0.0,,0.014385785344804176,12.5,0,303.15
66,0.0,,0.014435012946425293,12.5,0,303.15
67,0.0,,0.008068593948779207,12.5,0,303.15
68,0.0,,0.010053793939133245,12.5,0,303.15
69,0.0,,0.009869597711935843,12.5,0,303.15
