,Time,Concentration,Value,Aerobic,Temperature
0,0.0,0.0,0.005468879393670224,1,303.15
1,0.0,0.0,0.00965770035333427,1,303.15
2,0.0,0.0,0.004528689290692724,1,303.15
3,0.0,0.0,0.007889914997867679,1,303.15
4,0.0,0.0,0.010469854009645802,1,303.15
5,0.0,0.0,0.006700386646485609,1,303.15
6,0.0,0.0,0.006029543288824438,1,303.15
7,0.0,0.0,0.006665783646796342,1,303.15
8,0.0,0.0,0.006201502901586987,1,303.15
9,0.0,0.0,0.009969295334850182,1,303.15
10,0.0,10.0,0.006558794195785177,1,303.15
11,0.0,10.0,0.0068422318709846644,1,303.15
12,0.0,10.0,0.007030870045269466,1,303.15
13,0.0,10.0,0.00644406387833008,1,303.15
14,0.0,10.0,0.006607362534136277,1,303.15
15,0.0,10.0,0.005772818229561985,1,303.15
16,0.0,10.0,0.006635540971345731,1,303.15
17,0.0,10.0,0.006480961333637438,1,303.15
18,0.0,10.0,0.007289134598558958,1,303.15
19,0.0,10.0,0.006750642230339391,1,303.15
20,0.0,20.0,0.009414622536578543,1,303.15
21,0.0,20.0,0.009025413066064268,1,303.15
22,0.0,20.0,0.00816857597689844,1,303.15
23,0.0,20.0,0.008282096578334876,1,303.15
24,0.0,20.0,0.00968387164480637,1,303.15
25,0.0,20.0,0.00790721671806812,1,303.15
26,0.0,20.0,0.00825321720300539,1,303.15
27,0.0,20.0,0.008461828049253635,1,303.15
28,0.0,20.0,0.008033628806406809,1,303.15
29,0.0,20.0,0.008647731035209587,1,303.15
30,0.0,30.0,0.004101360368909205,1,303.15
31,0.0,30.0,0.00511814137281492,1,303.15
32,0.0,30.0,0.007625414551307536,1,303.15
33,0.0,30.0,0.006848470979737658,1,303.15
34,0.0,30.0,0.00850508327101152,1,303.15
35,0.0,30.0,0.0007584507409653394,1,303.15
36,0.0,30.0,0.007113435555492037,1,303.15
37,0.0,30.0,0.004303212527088127,1,303.15
38,0.0,30.0,0.007937210246985375,1,303.15
39,0.0,30.0,0.004560260133245865,1,303.15
40,0.0,40.0,0.007931219016397045,1,303.15
41,0.0,40.0,0.0077758487993881764,1,303.15
42,0.0,40.0,0.007954883688391548,1,303.15
43,0.0,40.0,0.007765325874643528,1,303.15
44,0.0,40.0,0.007106106076787345,1,303.15
45,0.0,40.0,0.007520030665954913,1,303.15
46,0.0,40.0,0.0092668387752103,1,303.15
47,0.0,40.0,0.00858668820191947,1,303.15
48,0.0,40.0,0.00786753759185777,1,303.15
49,0.0,40.0,0.007861351798079189,1,303.15
50,0.0,50.0,0.008569561712790346,1,303.15
51,0.0,50.0,0.007386621590516466,1,303.15
52,0.0,50.0,0.005793182734785989,1,303.15
53,0.0,50.0,0.008275317891281995,1,303.15
54,0.0,50.0,0.008017996063662172,1,303.15
55,0.0,50.0,0.007172403746344928,1,303.15
56,0.0,50.0,0.00536731259404507,1,303.15
57,0.0,50.0,0.00946019604421941,1,303.15
58,0.0,50.0,0.008675204358571647,1,303.15
59,0.0,50.0,0.006957049869952928,1,303.15
60,0.0,60.0,0.0062571243785558535,1,303.15
61,0.0,60.0,0.005267867971429226,1,303.15
62,0.0,60.0,0.004462665877667475,1,303.15
63,0.0,60.0,0.006223130506953249,1,303.15
64,0.0,60.0,0.005717113635639776,1,303.15
65,0.0,60.0,0.00594587250417662,1,303.15
66,0.0,60.0,0.0044839575027395195,1,303.15
